ORIGIN,DEST,COUNT
IN,NJ,1700.0
IN,NV,1453.0
IN,NY,4413.0
IN,OH,1.0
IN,PA,1181.0
IN,SC,88.0
IN,TX,6081.0
IN,UT,49.0
IN,VA,2497.0
IN,WA,374.0
KS,AZ,247.0
KS,CA,18.0
KS,CO,2785.0
KS,FL,225.0
KS,GA,956.0
KS,IL,2234.0
KS,KS,904.0
KS,MN,386.0
KS,MO,536.0
KS,NV,186.0
KS,TX,4144.0
KS,WA,281.0
KY,AZ,480.0
KY,CA,584.0
KY,CO,2508.0
KY,FL,9254.0
KY,GA,6969.0
KY,IL,6844.0
KY,LA,111.0
KY,MA,1845.0
KY,MD,1431.0
KY,MI,3342.0
KY,MN,1845.0
KY,MO,238.0
KY,NC,3809.0
KY,NJ,2341.0
KY,NV,1297.0
KY,NY,4787.0
KY,OH,1.0
KY,PA,1306.0
KY,RI,12.0
KY,SC,242.0
KY,TX,6413.0
KY,UT,518.0
KY,VA,3934.0
KY,WA,593.0
LA,AZ,462.0
LA,CA,1533.0
LA,CO,1915.0
LA,FL,6086.0
LA,GA,8845.0
LA,IL,2427.0
LA,IN,19.0
LA,KY,111.0
LA,MA,649.0
LA,MD,945.0
LA,MI,933.0
LA,MN,333.0
LA,MO,908.0
LA,NC,3793.0
LA,NJ,1501.0
LA,NV,1009.0
LA,NY,2494.0
LA,OH,46.0
LA,PA,1030.0
LA,TN,931.0
LA,TX,19938.0
LA,UT,322.0
LA,VA,2581.0
LA,WA,359.0
MA,AZ,1514.0
MA,CA,8756.0
MA,CO,2534.0
MA,FL,17676.0
MA,GA,4502.0
MA,HI,195.0
MA,IL,7207.0
MA,IN,1592.0
MA,KY,1841.0
MA,LA,650.0
MA,MA,460.0
MA,MD,2390.0
MA,ME,169.0
MA,MI,2413.0
MA,MN,1894.0
MA,MO,2261.0
MA,MT,46.0
MA,NC,7449.0
MA,NJ,4485.0
MA,NV,1448.0
MA,NY,18603.0
MA,OH,2845.0
MA,OR,347.0
MA,PA,6412.0
MA,PR,1342.0
MA,SC,1536.0
MA,TN,2328.0
MA,TX,6361.0
MA,UT,1010.0
MA,VA,14024.0
MA,VI,160.0
MA,WA,2232.0
MA,WI,870.0
MD,AL,324.0
MD,AZ,734.0
MD,CA,1586.0
MD,CO,2162.0
MD,CT,1339.0
MD,FL,17267.0
MD,GA,5280.0
MD,IL,4507.0
MD,IN,837.0
MD,KY,1426.0
MD,LA,895.0
MD,MA,2369.0
MD,ME,1023.0
MD,MI,2088.0
MD,MN,1190.0
MD,MO,1570.0
MD,MS,323.0
MD,NC,3637.0
MD,NH,1364.0
MD,NM,56.0
MD,NV,1455.0
MD,NY,8960.0
MD,OH,1544.0
MD,PA,982.0
MD,PR,1025.0
MD,RI,1412.0
MD,SC,2523.0
MD,TN,1337.0
MD,TX,5924.0
MD,UT,448.0
MD,VA,1362.0
MD,WA,424.0
MD,WI,586.0
ME,CO,70.0
ME,FL,658.0
ME,GA,524.0
ME,IL,1166.0
ME,MA,168.0
ME,MD,1023.0
ME,MI,454.0
ME,MN,98.0
ME,NC,1112.0
ME,NJ,1637.0
ME,NY,3588.0
ME,PA,1107.0
ME,TN,11.0
ME,TX,77.0
ME,VA,2630.0
MI,AL,388.0
MI,AZ,2322.0
MI,CA,4692.0
MI,CO,3710.0
MI,CT,1226.0
MI,FL,14669.0
MI,GA,5272.0
MI,IA,1385.0
MI,IL,14549.0
MI,IN,1976.0
MI,KY,3342.0
MI,LA,937.0
MI,MA,2414.0
MI,MD,2071.0
MI,ME,455.0
MI,MI,16469.0
MI,MN,4158.0
MI,MO,3071.0
MI,MT,5.0
MI,NC,5520.0
MI,NE,852.0
MI,NJ,3426.0
MI,NV,3166.0
MI,NY,13528.0
MI,OH,3194.0
MI,OR,374.0
MI,PA,5262.0
MI,RI,815.0
MI,SC,1641.0
MI,TN,3755.0
MI,TX,8341.0
MI,UT,1411.0
MI,VA,7018.0
MI,VT,366.0
MI,WA,1828.0
MI,WI,4703.0
MN,AK,656.0
MN,AR,176.0
MN,AZ,3088.0
MN,CA,6401.0
MN,CO,4598.0
MN,CT,792.0
MN,FL,6655.0
MN,GA,3286.0
MN,HI,277.0
MN,IA,1733.0
MN,ID,699.0
MN,IL,8570.0
MN,IN,1852.0
MN,KS,385.0
MN,KY,1846.0
MN,LA,332.0
MN,MA,1894.0
MN,MD,1193.0
MN,ME,98.0
MN,MI,4159.0
MN,MN,9522.0
MN,MO,2770.0
MN,MT,1851.0
MN,NC,2906.0
MN,ND,6038.0
MN,NE,1362.0
MN,NJ,2206.0
MN,NM,50.0
MN,NV,2442.0
MN,NY,3940.0
MN,OH,2291.0
MN,OK,334.0
MN,OR,1309.0
MN,PA,2217.0
MN,PR,82.0
MN,RI,60.0
MN,SC,265.0
MN,SD,3205.0
MN,TN,2466.0
MN,TX,6818.0
MN,UT,1559.0
MN,VA,3516.0
MN,VT,44.0
MN,WA,3414.0
MN,WI,6886.0
MN,WY,30.0
MO,AR,535.0
MO,AZ,3637.0
MO,CA,3637.0
MO,CO,7012.0
MO,FL,10558.0
MO,GA,6160.0
MO,IA,538.0
MO,IL,10706.0
MO,KS,538.0
MO,KY,185.0
MO,LA,921.0
MO,MA,2262.0
MO,MD,1582.0
MO,MI,3007.0
MO,MN,2785.0
MO,MO,1588.0
MO,NC,4301.0
MO,NE,623.0
MO,NJ,1079.0
MO,NM,2.0
MO,NV,3337.0
MO,NY,6740.0
MO,OH,1073.0
MO,OK,915.0
MO,OR,132.0
MO,PA,2285.0
MO,PR,30.0
MO,SC,96.0
MO,TN,2004.0
MO,TX,16936.0
MO,UT,1919.0
MO,VA,4447.0
MO,WA,1393.0
MO,WI,515.0
MS,FL,89.0
MS,GA,4858.0
MS,MD,323.0
MS,MS,512.0
MS,NC,1670.0
MS,TX,4446.0
MS,VA,334.0
MT,AZ,542.0
MT,CA,1548.0
MT,CO,6634.0
MT,FL,13.0
MT,GA,368.0
MT,IL,1120.0
MT,MA,46.0
MT,MI,5.0
MT,MN,1853.0
MT,NC,19.0
MT,NJ,179.0
MT,NV,1075.0
MT,NY,144.0
MT,OR,80.0
MT,TN,113.0
MT,TX,1809.0
MT,UT,6375.0
MT,VA,15.0
MT,WA,4175.0
NC,AL,2817.0
NC,AR,2026.0
NC,AZ,2562.0
NC,CA,5678.0
NC,CO,3943.0
NC,CT,1806.0
NC,FL,36657.0
NC,GA,18057.0
NC,HI,6.0
NC,IA,1445.0
NC,IL,8906.0
NC,IN,2556.0
NC,KY,3806.0
NC,LA,3791.0
NC,MA,7458.0
NC,MD,3676.0
NC,ME,1115.0
NC,MI,5524.0
NC,MN,2906.0
NC,MO,4323.0
NC,MS,1671.0
NC,MT,19.0
NC,NC,22377.0
NC,NE,654.0
NC,NH,885.0
NC,NJ,7430.0
NC,NV,2827.0
NC,NY,26016.0
NC,OH,5762.0
NC,OK,1308.0
NC,OR,205.0
NC,PA,10704.0
NC,PR,910.0
NC,RI,1317.0
NC,SC,8015.0
NC,SD,154.0
NC,TN,8661.0
NC,TX,14502.0
NC,UT,1014.0
NC,VA,16601.0
NC,VI,462.0
NC,VT,658.0
NC,WA,1673.0
NC,WI,1838.0
NC,WV,1119.0
NC,WY,19.0
ND,AZ,823.0
ND,CA,16.0
ND,CO,4321.0
ND,FL,233.0
ND,IL,1113.0
ND,MN,6030.0
ND,ND,776.0
ND,NV,512.0
ND,TN,96.0
ND,TX,1189.0
NE,AZ,1484.0
NE,CA,472.0
NE,CO,3982.0
NE,FL,603.0
NE,GA,1833.0
NE,IL,3603.0
NE,MI,852.0
NE,MN,1362.0
NE,MO,619.0
NE,NC,654.0
NE,NE,238.0
NE,NJ,2.0
NE,NV,1009.0
NE,NY,928.0
NE,OK,1.0
NE,TN,12.0
NE,TX,3211.0
NE,UT,882.0
NE,VA,601.0
NE,WA,309.0
NH,FL,1622.0
NH,IL,722.0
NH,MD,1364.0
NH,NC,885.0
NH,NJ,372.0
NH,PA,289.0
NH,SC,197.0
NH,TN,14.0
NH,VA,1044.0
NJ,AK,92.0
NJ,AR,63.0
NJ,AZ,2329.0
NJ,CA,11372.0
NJ,CO,2891.0
NJ,FL,30015.0
NJ,GA,7204.0
NJ,HI,344.0
NJ,IA,47.0
NJ,IL,5212.0
NJ,IN,1502.0
NJ,KY,2323.0
NJ,LA,1501.0
NJ,MA,4480.0
NJ,ME,1702.0
NJ,MI,3424.0
NJ,MN,2206.0
NJ,MO,1024.0
NJ,MT,179.0
NJ,NC,7511.0
NJ,NE,2.0
NJ,NH,379.0
NJ,NV,2632.0
NJ,NY,2553.0
NJ,OH,3536.0
NJ,OR,811.0
NJ,PA,2166.0
NJ,PR,2161.0
NJ,RI,708.0
NJ,SC,3700.0
NJ,SD,13.0
NJ,TN,2637.0
NJ,TX,8860.0
NJ,UT,754.0
NJ,VA,3046.0
NJ,VI,365.0
NJ,VT,637.0
NJ,WA,1912.0
NJ,WI,1258.0
NJ,WY,140.0
NM,AZ,3110.0
NM,CA,3418.0
NM,CO,2175.0
NM,GA,987.0
NM,IL,1103.0
NM,MD,55.0
NM,MN,50.0
NM,MO,2.0
NM,NV,1155.0
NM,NY,330.0
NM,OR,260.0
NM,TX,7549.0
NM,UT,974.0
NM,WA,368.0
NV,AK,100.0
NV,AL,87.0
NV,AR,332.0
NV,AZ,8353.0
NV,CA,53765.0
NV,CO,10200.0
NV,CT,162.0
NV,FL,4168.0
NV,GA,3830.0
NV,HI,2651.0
NV,IA,592.0
NV,ID,961.0
NV,IL,7810.0
NV,IN,1451.0
NV,KS,186.0
NV,KY,1302.0
NV,LA,1001.0
NV,MA,1450.0
NV,MD,1481.0
NV,MI,3164.0
NV,MN,2445.0
NV,MO,3374.0
NV,MT,1093.0
NV,NC,2823.0
NV,ND,511.0
NV,NE,1012.0
NV,NJ,2627.0
NV,NM,1156.0
NV,NV,5680.0
NV,NY,3192.0
NV,OH,1701.0
NV,OK,1157.0
NV,OR,4253.0
NV,PA,2174.0
NV,SD,354.0
NV,TN,1944.0
NV,TX,20643.0
NV,UT,5138.0
NV,VA,964.0
NV,WA,9058.0
NV,WI,1241.0
NY,AL,479.0
NY,AR,899.0
NY,AZ,2197.0
NY,CA,20093.0
NY,CO,6977.0
NY,CT,207.0
NY,FL,60372.0
NY,GA,19920.0
NY,HI,334.0
NY,IA,292.0
NY,IL,24481.0
NY,IN,4411.0
NY,KY,4781.0
NY,LA,2492.0
NY,MA,18608.0
NY,MD,8959.0
NY,ME,3589.0
NY,MI,13521.0
NY,MN,3936.0
NY,MO,6738.0
NY,MT,144.0
NY,NC,26010.0
NY,NE,928.0
NY,NJ,2527.0
NY,NM,330.0
NY,NV,3197.0
NY,NY,19280.0
NY,OH,10446.0
NY,OK,457.0
NY,OR,1018.0
NY,PA,7251.0
NY,PR,3650.0
NY,RI,945.0
NY,SC,6453.0
NY,SD,13.0
NY,TN,9260.0
NY,TX,18177.0
NY,UT,1981.0
NY,VA,29287.0
NY,VI,613.0
NY,VT,2215.0
NY,WA,2991.0
NY,WI,2217.0
NY,WY,70.0
OH,AZ,1653.0
OH,CA,1315.0
OH,CO,3130.0
OH,FL,12394.0
OH,GA,6287.0
OH,IA,3.0
OH,IL,8419.0
